id;produto_id;DesPro;DesGru;PcoVen;PcoProm;QntProm;ativo;ordem;data_criacao;destaque
4559;4545;AVENTAL BRANCO 28,5X19CM;UTILIDADES;32,9;0,99;5;1;4545;46156,94226;0
4560;4546;AVENTAL FLANELADO 28,5X19 CM;UTILIDADES;8,9;0,99;5;1;4546;46156,94226;0
4560;4546;AVENTAL FLANELADO 28,5X19 CM;UTILIDADES;8,9;0,99;5;1;4546;46156,94226;0
469;455;MARGARINA QUALY COM SAL 500G;LATICINIOS;7,99;0,99;5;1;455;46156,94226;0
4579;4565;CAPA MAQUINA VINIL ESTAMPADA GDE 27X34,5 CM;UTILIDADES;36,9;0,99;5;1;4565;46156,94226;0
4579;4565;CAPA MAQUINA VINIL ESTAMPADA GDE 27X34,5 CM;UTILIDADES;36,9;0,99;5;1;4565;46156,94226;0
4646;4632;LUVA TERMICA 21X35X20 CM;UTILIDADES;16,99;0,99;5;1;4632;46156,94226;0
4646;4632;LUVA TERMICA 21X35X20 CM;UTILIDADES;16,99;0,99;5;1;4632;46156,94226;0
4732;4718;REFIL PASTILHA RAID 12 NOITES;LIMPEZA;6,85;0,99;5;1;4718;46156,94226;0
4775;4761;APARELHO + REFIL ELETR RAID 45N;LIMPEZA;21,99;0,99;5;1;4761;46156,94226;0
4809;4795;APARELHO BARBEAR PROBAK II C1;HIGIENE PESSOAL;2,99;0,99;5;1;4795;46156,94226;0
4949;4935;PA PARA LIXO CONDOR AMARELA;LIMPEZA;4,99;0,99;5;1;4935;46156,94226;0
4954;4940;VEDA ROSCA 10MX12MM POLYTUBES;UTILIDADES;2,99;0,99;5;1;4940;46156,94226;0
4958;4944;PENTE BOLSO JOY CONDOR;UTILIDADES;2,89;0,99;5;1;4944;46156,94226;0
4961;4947;PINO FEMEA 10A COLOR TRAMONTINA;UTILIDADES;5,39;0,99;5;1;4947;46156,94226;0
4962;4948;PINO MACHO 10A COLOR TRAMONTINA;UTILIDADES;4,99;0,99;5;1;4948;46156,94226;0
5288;5274;GUARACRAC ACAICRAC 290ML GEL;BEBIDAS;2,5;0;0;0;5274;46156,94226;0
545;531;PAPEL HIG OLE FLH DUP 12UN;HIGIENE PESSOAL;11,99;0;0;0;531;46156,94226;0
5398;5384;CLORO SOL 1L;LIMPEZA;3,5;0,99;5;1;5384;46156,94226;0
5517;5503;LAMPADA KIAN LED BULBO 9W BIVOLT 6.5K;UTILIDADES;5,2;0,99;5;1;5503;46156,94226;0
5684;5670;BALA BUTTER 5G;BOMBONIERE;0,5;0;0;0;5670;46156,94226;0
5693;5679;VASSOURA ROSSI CERDAS DURAVEL;LIMPEZA;22,39;0,99;5;1;5679;46156,94226;0
5712;5698;CERVEJA ANTARCTICA 473ML GEL;BEBIDAS;5,99;0;0;0;5698;46156,94226;0
5871;5857;LAPIS WINNER GRAFITE N2;PAPELARIA;0,85;0;0;0;5857;46156,94226;0
5872;5858;LAPIS BIC GRAFITE HB N2;PAPELARIA;0,99;0;0;0;5858;46156,94226;0
604;590;ISQUEIRO BIC MINI;MERCEARIA;5,99;0;0;0;590;46156,94226;0
5942;5928;LAMPADA KIAN LED BULBO 15W BIVOLT 6,5K;MERCEARIA;9,8;0;0;0;5928;46156,94226;0
5945;5931;COLHER STRAWPLAST SOBREMESA 50UN;DESCARTAVEL;6,25;0;0;0;5931;46156,94226;0
5946;5932;GARFO STRAWPLAST LEVE CRISTAL 50UN;DESCARTAVEL;8,29;0;0;0;5932;46156,94226;0
5947;5933;FACA STRAWPLAST LEVE CRISTAL 50UN;DESCARTAVEL;8,29;0;0;0;5933;46156,94226;0
5948;5934;COLHER CRISTAL REFEICAO STRAWPLAST C/50UN;DESCARTAVEL;8,29;0;0;0;5934;46156,94226;0
5984;5970;BORRACHA PRIMA MERCUR 40;PAPELARIA;1,79;0;0;0;5970;46156,94226;0
6020;6006;XAROPE CRAC GUARANA 1L;BEBIDAS;11,99;0;0;0;6006;46156,94226;0
6036;6022;VODKA SMIRNOFF 21 998ML;BEBIDAS;53,45;0;0;0;6022;46156,94226;0
6130;6116;COTONETES J&J 75UND;HIGIENE PESSOAL;9,99;0;0;0;6116;46156,94226;0
6274;6260;COPO AMERICANO DUPLO 300ML;UTILIDADES;5,85;0;0;0;6260;46156,94226;0
6313;6299;SABAO PASTOSO TRADICIONAL 500G;LIMPEZA;8,99;0;0;0;6299;46156,94226;0
6404;6390;PACOQUINHA ROLHA 15G;BOMBONIERE;0,7;0;0;0;6390;46156,94226;0
6527;6513;TAMPA P PIA E LAVATORIO COM 02;UTILIDADES;3,69;0;0;0;6513;46156,94226;0
669;655;APARELHO GILLETTE ULTRAGRIP CF C1;HIGIENE PESSOAL;4,5;0;0;0;655;46156,94226;0
